Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Pasuruan;69.75;10.73;5.96;8074.97;62.31;2012
Kabupaten Sidoarjo;73.43;12.54;9.7;12456.69;75.14;2012
Kabupaten Mojokerto;71.72;11.81;7.3;10914.56;69.17;2012
Kabupaten Jombang;71.28;11.92;7.37;9493.01;67.82;2012
Kabupaten Nganjuk;70.76;11.77;7;10655.57;68.07;2012
Kabupaten Madiun;69.59;12.06;6.74;10428.85;67.32;2012
Kabupaten Magetan;71.79;12.54;7.33;10374.72;69.56;2012
Kabupaten Ngawi;71.19;11.96;6.23;9905.35;66.72;2012
Kabupaten Bojonegoro;69.98;11.74;5.8;8809.44;64.2;2012
Kabupaten Tuban;70.15;11.02;5.82;8705.73;63.36;2012
Kabupaten Lamongan;71.35;12.34;6.84;9385.63;67.51;2012
Kabupaten Gresik;72.18;12.63;8.41;11359.96;72.12;2012
Kabupaten Bangkalan;69.56;10.67;4.89;7315.93;59.65;2012
Kabupaten Sampang;67.43;9.86;3.27;7691.64;55.78;2012
Kabupaten Pamekasan;66.48;12.7;5.36;7260.28;61.21;2012
Kabupaten Sumenep;69.9;12.01;4.48;6834;60.08;2012
Kota Kediri;73.49;13.09;9.49;10431.79;73.66;2012
Kota Blitar;72.66;12.29;9.52;11533.93;73.53;2012
Kota Malang;72.25;14.01;9.67;15286.58;78.04;2012
Kota Probolinggo;69.46;12.42;8.17;9863.55;68.93;2012
Kota Pasuruan;70.48;12.87;8.88;11184.27;72.01;2012
Kota Mojokerto;72.33;12.98;9.87;11191.2;74.2;2012
Kota Madiun;72.33;12.56;10.68;14317.08;77.21;2012
Kota Surabaya;73.8;13.05;9.95;15104.14;78.05;2012
Kota Batu;72.02;12.67;7.75;10666.53;70.62;2012
Kabupaten Pacitan;70.7;11.41;6.32;7625.93;63.38;2013
Kabupaten Ponorogo;71.85;12.8;6.86;8354.33;67.03;2013
Kabupaten Trenggalek;72.49;11.49;6.74;8388.62;65.76;2013
Kabupaten Tulungagung;72.86;12.58;7.44;9477.22;69.3;2013
